Timestamp;Username;Navn;Afdeling;PCNavn;OS;Producent;Model1;Model2;S/N;PC-AD-Status
11/09/20 15:56;N1M146;Amy Elliott;;PC5003317;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1KHCJH;Aktiv
06/10/20 08:15;N1M268;Ernesto Garrett;AFR Sekretariat;PC5003318;Windows 10;LENOVO;20Q1S4UJ00;ThinkPad X390;PC1L3TPG;Aktiv
06/10/20 07:01;N1M269;Kiersten Duffy;AFR Drift;PC5003319;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1JJAPG;Aktiv
23/09/20 15:30;N1M220;Rhys Robertson;AFR Sekretariat;PC5003320;Windows 10;Dell Inc.;Latitude E5570;;4Q2VQC2;Aktiv
05/10/20 09:01;N1M270;Immanuel Pratt;Aalborg Renovation;PC5003321;Windows 10;LENOVO;20NYS1JA00;ThinkPad T490s;PC1KHCJG;Aktiv
07/10/20 07:31;N1M272;Autumn Mcguire;AFE Salg og Service;PC5004003;Windows 10;Dell Inc.;Latitude 7480;;98WXLH2;Aktiv
07/09/20 07:29;N1M273;Stacy Myers;AFE Eksterne brugere;PC5004006;Windows 10;Dell Inc.;Latitude 7480;;C5P0NH2;Aktiv
07/10/20 06:56;N1M274;Brennan Blackburn;AFE Salg og Service;PC5004007;Windows 10;Dell Inc.;Latitude 7480;;B0DSLH2;Aktiv
07/10/20 06:45;N1M275;Brenda Gray;AFE Net Drift;PC5004009;Windows 10;Dell Inc.;Latitude 7480;;1R4V3M2;Aktiv
07/10/20 04:42;N1M276;Samson Cohen;AFE Net Drift;PC5004011;Windows 10;Dell Inc.;Latitude 7480;;510Z3M2;Aktiv
07/10/20 06:30;N1M277;Alexa Hooper;AFE Mekanisk Vedligehold og Driftvagt;PC5004012;Windows 10;Dell Inc.;Latitude 5580;;121V5M2;Aktiv
05/10/20 09:06;N1M278;Alan Nixon;AFE Net Drift;PC5004013;Windows 10;Dell Inc.;Latitude 7480;;H1ZWLH2;Aktiv
06/10/20 11:41;N1M279;Nick Costa;AFE Håndværkere;PC5004014;Windows 10;Dell Inc.;Latitude 7480;;HBPXLH2;Aktiv
07/10/20 06:30;N1M280;Yael Huang;AFE Håndværkere;PC5004015;Windows 10;Dell Inc.;Latitude 7480;;18R4MH2;Aktiv
07/10/20 08:41;N1M281;Gabriel Porter;AFE Håndværkere;PC5004016;Windows 10;Dell Inc.;Latitude 7480;;DYVXLH2;Aktiv
07/10/20 03:35;N1M282;Nia Burnett;AFE Håndværkere;PC5004017;Windows 10;Dell Inc.;Latitude 7480;;8XYWLH2;Aktiv
07/10/20 10:06;N1M283;Destiney Ali;AFE Håndværkere;PC5004018;Windows 10;Dell Inc.;Latitude 7480;;F4R4MH2;Aktiv
07/10/20 09:26;N1M284;Georgia Oconnor;AFE Håndværkere;PC5004019;Windows 10;Dell Inc.;Latitude 7480;;2G4XLH2;Aktiv
06/10/20 11:01;N1M285;Stephanie Gallagher;AFE Håndværkere;PC5004020;Windows 10;Dell Inc.;Latitude 7480;;3YKSLH2;Aktiv
05/10/20 14:30;N1M286;Santiago Wheeler;AFE Eksterne brugere;PC5004021;Windows 10;Dell Inc.;Latitude 7490;;9ZRYPN2;Aktiv
07/10/20 10:45;N1M287;Sierra Miller;AFE Mekanisk Vedligehold og Driftvagt;PC5004022;Windows 10;Dell Inc.;Latitude 7490;;H24ZPN2;Aktiv
06/10/20 17:48;N1M288;Cole Hampton;AFE Net Drift;PC5004023;Windows 10;Dell Inc.;Latitude 7490;;C6LYPN2;Aktiv
07/10/20 08:54;N1M289;Hillary Andrews;AFE Net Drift;PC5004024;Windows 10;LENOVO;20HLS1JT00;ThinkPad P71;PF17PG8L;Aktiv
07/10/20 08:15;N1M290;Chance Walker;AFE Projekter;PC5004027;Windows 10;LENOVO;20LAS1XE00;ThinkPad T580;R90QW9W1;Aktiv
06/10/20 14:07;N1M291;Kasey Webb;AFE Net Drift;PC5004029;Windows 10;LENOVO;20L6SAS100;ThinkPad T480;PF1HPXKJ;Aktiv
07/10/20 05:56;N1M292;Phoebe Riley;AFE Eksterne brugere;PC5004031;Windows 10;LENOVO;20L8S9N300;ThinkPad T480s;PC10X14N;Aktiv
07/10/20 07:32;N1M293;Brett Case;AFE Ledningsafsnit;PC5004032;Windows 10;LENOVO;20L8S9N300;ThinkPad T480s;PC10X14R;Aktiv
